"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 11:05:54 GMT 2023","Fri Apr 28 11:05:54 GMT 2023","536","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Fri Apr 28 11:05:51 GMT 2023","Fri Apr 28 11:05:52 GMT 2023","562","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user tab","Using correct credentials - validating new user registration is possible"
"passed","Fri Apr 28 11:05:52 GMT 2023","Fri Apr 28 11:05:53 GMT 2023","508","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Fri Apr 28 11:05:53 GMT 2023","Fri Apr 28 11:05:53 GMT 2023","529","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Fri Apr 28 11:05:52 GMT 2023","Fri Apr 28 11:05:52 GMT 2023","554","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","'Terms and conditions' text verify","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Fri Apr 28 11:05:57 GMT 2023","Fri Apr 28 11:05:58 GMT 2023","961","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Fri Apr 28 11:05:53 GMT 2023","Fri Apr 28 11:05:54 GMT 2023","609","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"failed","Fri Apr 28 11:05:56 GMT 2023","Fri Apr 28 11:05:57 GMT 2023","982","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Fri Apr 28 11:05:55 GMT 2023","Fri Apr 28 11:05:56 GMT 2023","1085","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Fri Apr 28 11:05:54 GMT 2023","Fri Apr 28 11:05:55 GMT 2023","894","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"failed","Fri Apr 28 11:05:42 GMT 2023","Fri Apr 28 11:05:50 GMT 2023","7981","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Fri Apr 28 11:05:51 GMT 2023","Fri Apr 28 11:05:51 GMT 2023","495","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
