"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 24 19:35:26 GMT 2023","Mon Apr 24 19:35:33 GMT 2023","6846","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon Apr 24 19:35:21 GMT 2023","Mon Apr 24 19:35:21 GMT 2023","683","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user tab","Validating new user registration function is possible"
"passed","Mon Apr 24 19:35:25 GMT 2023","Mon Apr 24 19:35:26 GMT 2023","1251","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Mon Apr 24 19:35:23 GMT 2023","Mon Apr 24 19:35:24 GMT 2023","1273","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Mon Apr 24 19:35:18 GMT 2023","Mon Apr 24 19:35:20 GMT 2023","2001","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"failed","Mon Apr 24 19:35:24 GMT 2023","Mon Apr 24 19:35:25 GMT 2023","1204","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Mon Apr 24 19:35:21 GMT 2023","Mon Apr 24 19:35:23 GMT 2023","1162","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
