"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 29 17:18:12 GMT 2023","Sat Apr 29 17:18:12 GMT 2023","605","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"failed","Sat Apr 29 17:18:04 GMT 2023","Sat Apr 29 17:18:05 GMT 2023","693","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"passed","Sat Apr 29 17:18:06 GMT 2023","Sat Apr 29 17:18:07 GMT 2023","985","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"passed","Sat Apr 29 17:18:13 GMT 2023","Sat Apr 29 17:18:14 GMT 2023","1005","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Sat Apr 29 17:18:09 GMT 2023","Sat Apr 29 17:18:10 GMT 2023","994","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login  - validating  user login is possible with built-in login credentials"
"passed","Sat Apr 29 17:18:16 GMT 2023","Sat Apr 29 17:18:18 GMT 2023","1079","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Sat Apr 29 17:18:12 GMT 2023","Sat Apr 29 17:18:13 GMT 2023","646","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Sat Apr 29 17:18:10 GMT 2023","Sat Apr 29 17:18:11 GMT 2023","572","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Sat Apr 29 17:18:11 GMT 2023","Sat Apr 29 17:18:11 GMT 2023","555","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Sat Apr 29 17:18:06 GMT 2023","Sat Apr 29 17:18:06 GMT 2023","552","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"failed","Sat Apr 29 17:18:08 GMT 2023","Sat Apr 29 17:18:09 GMT 2023","988","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"broken","Sat Apr 29 17:17:56 GMT 2023","Sat Apr 29 17:18:04 GMT 2023","8772","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login  - validating  user login is not possible when no login data is provided"
"passed","Sat Apr 29 17:18:05 GMT 2023","Sat Apr 29 17:18:06 GMT 2023","605","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginWindowTest","'Login' window check","Login window - validates after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"failed","Sat Apr 29 17:17:47 GMT 2023","Sat Apr 29 17:18:02 GMT 2023","15293","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Sat Apr 29 17:18:14 GMT 2023","Sat Apr 29 17:18:15 GMT 2023","1291","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"failed","Sat Apr 29 17:18:15 GMT 2023","Sat Apr 29 17:18:16 GMT 2023","1171","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Sat Apr 29 17:18:11 GMT 2023","Sat Apr 29 17:18:12 GMT 2023","598","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Sat Apr 29 17:17:47 GMT 2023","Sat Apr 29 17:17:55 GMT 2023","8108","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"passed","Sat Apr 29 17:18:07 GMT 2023","Sat Apr 29 17:18:08 GMT 2023","661","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
