"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 14:48:08 GMT 2023","Tue Apr 18 14:48:09 GMT 2023","1401","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"passed","Tue Apr 18 14:48:10 GMT 2023","Tue Apr 18 14:48:11 GMT 2023","1383","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing username",""
"failed","Tue Apr 18 14:48:11 GMT 2023","Tue Apr 18 14:48:12 GMT 2023","1361","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button",""
"passed","Tue Apr 18 14:48:09 GMT 2023","Tue Apr 18 14:48:09 GMT 2023","488","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user","Validating new user registration function"
