"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 19:09:46 GMT 2023","Mon Apr 24 19:09:47 GMT 2023","1148","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Mon Apr 24 19:09:43 GMT 2023","Mon Apr 24 19:09:44 GMT 2023","1425","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"failed","Mon Apr 24 19:09:47 GMT 2023","Mon Apr 24 19:09:48 GMT 2023","896","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Mon Apr 24 19:09:45 GMT 2023","Mon Apr 24 19:09:46 GMT 2023","974","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"failed","Mon Apr 24 19:09:49 GMT 2023","Mon Apr 24 19:09:56 GMT 2023","6488","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon Apr 24 19:09:48 GMT 2023","Mon Apr 24 19:09:49 GMT 2023","915","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Mon Apr 24 19:09:44 GMT 2023","Mon Apr 24 19:09:45 GMT 2023","536","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user tab","Validating new user registration function is possible"
