"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 15:01:04 GMT 2023","Tue Apr 18 15:01:06 GMT 2023","2620","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"passed","Tue Apr 18 15:01:06 GMT 2023","Tue Apr 18 15:01:07 GMT 2023","605","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user","Validating new user registration function"
"passed","Tue Apr 18 15:01:04 GMT 2023","Tue Apr 18 15:01:07 GMT 2023","3386","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing username",""
"failed","Tue Apr 18 15:01:07 GMT 2023","Tue Apr 18 15:01:09 GMT 2023","1528","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button",""
