"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 15:37:11 GMT 2023","Tue Apr 18 15:37:13 GMT 2023","1256","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing username",""
"failed","Tue Apr 18 15:37:14 GMT 2023","Tue Apr 18 15:37:15 GMT 2023","1303","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button",""
"passed","Tue Apr 18 15:37:11 GMT 2023","Tue Apr 18 15:37:11 GMT 2023","449","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user","Validating new user registration function"
"passed","Tue Apr 18 15:37:09 GMT 2023","Tue Apr 18 15:37:11 GMT 2023","1295","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"passed","Tue Apr 18 15:37:13 GMT 2023","Tue Apr 18 15:37:14 GMT 2023","1280","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button",""
