"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 09:49:05 GMT 2023","Mon May 01 09:49:05 GMT 2023","647","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Mon May 01 09:49:01 GMT 2023","Mon May 01 09:49:03 GMT 2023","1687","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Mon May 01 09:48:59 GMT 2023","Mon May 01 09:49:00 GMT 2023","872","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Mon May 01 09:49:05 GMT 2023","Mon May 01 09:49:06 GMT 2023","636","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Mon May 01 09:48:57 GMT 2023","Mon May 01 09:48:58 GMT 2023","642","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginWindowTest","'Login' window check","Login window - validates after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Mon May 01 09:48:55 GMT 2023","Mon May 01 09:48:56 GMT 2023","1333","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"passed","Mon May 01 09:48:40 GMT 2023","Mon May 01 09:48:55 GMT 2023","14792","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"failed","Mon May 01 09:48:41 GMT 2023","Mon May 01 09:49:01 GMT 2023","20766","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon May 01 09:49:16 GMT 2023","Mon May 01 09:49:17 GMT 2023","1147","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 01 09:48:40 GMT 2023","Mon May 01 09:48:54 GMT 2023","14292","","pages.ProfilePageTest","","pages.ProfilePageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"failed","Mon May 01 09:49:14 GMT 2023","Mon May 01 09:49:15 GMT 2023","1181","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 01 09:49:02 GMT 2023","Mon May 01 09:49:03 GMT 2023","1208","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Mon May 01 09:48:58 GMT 2023","Mon May 01 09:48:59 GMT 2023","1160","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
