"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 07 20:38:12 GMT 2023","Sun May 07 20:38:18 GMT 2023","5900","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","sendMultipleMessage","Send multiple messages from file","The test verifies the 'Get in touch' menu's send message function."
"passed","Sun May 07 20:38:52 GMT 2023","Sun May 07 20:38:53 GMT 2023","1059","","pageTests.LandingPageTest","","pageTests.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Sun May 07 20:38:11 GMT 2023","Sun May 07 20:38:12 GMT 2023","658","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToProfilePageTest","'Profile page' - URL check","Validates navigating to the given URL is successful."
"failed","Sun May 07 20:38:24 GMT 2023","Sun May 07 20:38:30 GMT 2023","6635","","pageTests.GetInTouchPageTest","","pageTests.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Sun May 07 20:37:54 GMT 2023","Sun May 07 20:37:56 GMT 2023","1733","","functionTests.DeleteProfileTest","","functionTests.DeleteProfileTest","deleteProfileTest","Delete profile","Delete profile - Validates deleting profile is successful."
"passed","Sun May 07 20:38:21 GMT 2023","Sun May 07 20:38:22 GMT 2023","838","","functionTests.LoginTest","","functionTests.LoginTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - verifying user login is not possible when no login data is provided"
"failed","Sun May 07 20:37:46 GMT 2023","Sun May 07 20:37:47 GMT 2023","1111","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Sun May 07 20:38:35 GMT 2023","Sun May 07 20:38:36 GMT 2023","736","","pageTests.RegistrationAndLoginPageTest","","pageTests.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Verifies navigating to the given URL is successful."
"failed","Sun May 07 20:38:51 GMT 2023","Sun May 07 20:38:52 GMT 2023","995","","pageTests.LandingPageTest","","pageTests.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Sun May 07 20:38:49 GMT 2023","Sun May 07 20:38:50 GMT 2023","942","","pageTests.LandingPageTest","","pageTests.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Sun May 07 20:37:44 GMT 2023","Sun May 07 20:37:45 GMT 2023","1119","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"failed","Sun May 07 20:38:36 GMT 2023","Sun May 07 20:38:43 GMT 2023","6957","","pageTests.RegistrationAndLoginPageTest","","pageTests.RegistrationAndLoginPageTest","registerMultipleInvalidEmailUsersTest","Multiple invalid users register","Multiple invalid email users register - Reading invalid email registration credentials from a file, registrations must fail."
"passed","Sun May 07 20:37:51 GMT 2023","Sun May 07 20:37:52 GMT 2023","1203","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogNovember","Save 'November blog' text",""
"passed","Sun May 07 20:37:38 GMT 2023","Sun May 07 20:37:43 GMT 2023","4335","","functionTests.DataModificationTest","","functionTests.DataModificationTest","editProfileTest","Edit profile","Edit profile - Validates changing data in profile is successful."
"passed","Sun May 07 20:38:06 GMT 2023","Sun May 07 20:38:07 GMT 2023","836","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
