"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 03 09:36:40 GMT 2023","Wed May 03 09:36:49 GMT 2023","9085","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed May 03 09:37:10 GMT 2023","Wed May 03 09:37:10 GMT 2023","549","","pages.ProfilePageTest","","pages.ProfilePageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Wed May 03 09:37:21 GMT 2023","Wed May 03 09:37:22 GMT 2023","1206","","pages.LandingPageTest","","pages.LandingPageTest","logoutTest","Logout","Logout - validating user logout is successful"
"passed","Wed May 03 09:37:19 GMT 2023","Wed May 03 09:37:20 GMT 2023","1008","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Wed May 03 09:36:55 GMT 2023","Wed May 03 09:36:57 GMT 2023","2302","","pages.BlogPageTest","","pages.BlogPageTest","blogTitleCollectTest","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed May 03 09:37:14 GMT 2023","Wed May 03 09:37:15 GMT 2023","522","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Wed May 03 09:37:14 GMT 2023","Wed May 03 09:37:14 GMT 2023","523","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Wed May 03 09:37:15 GMT 2023","Wed May 03 09:37:16 GMT 2023","573","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Wed May 03 09:37:00 GMT 2023","Wed May 03 09:37:01 GMT 2023","510","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Wed May 03 09:37:10 GMT 2023","Wed May 03 09:37:12 GMT 2023","1708","","pages.ProfilePageTest","","pages.ProfilePageTest","deleteProfileTest","Delete profile","Delete profile - Validates deleting profile is successful."
