"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 20:36:25 GMT 2023","Fri Apr 28 20:36:25 GMT 2023","473","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Fri Apr 28 20:36:24 GMT 2023","Fri Apr 28 20:36:25 GMT 2023","794","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"failed","Fri Apr 28 20:36:23 GMT 2023","Fri Apr 28 20:36:24 GMT 2023","536","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentials","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"failed","Fri Apr 28 20:36:29 GMT 2023","Fri Apr 28 20:36:30 GMT 2023","914","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"failed","Fri Apr 28 20:36:15 GMT 2023","Fri Apr 28 20:36:22 GMT 2023","7244","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Fri Apr 28 20:36:26 GMT 2023","Fri Apr 28 20:36:27 GMT 2023","521","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Fri Apr 28 20:36:27 GMT 2023","Fri Apr 28 20:36:27 GMT 2023","497","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Fri Apr 28 20:36:25 GMT 2023","Fri Apr 28 20:36:26 GMT 2023","456","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Fri Apr 28 20:36:22 GMT 2023","Fri Apr 28 20:36:23 GMT 2023","545","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToregisterTab","Switch tab to register new user","Register tab - validating new user registration tab is displayed"
"passed","Fri Apr 28 20:36:27 GMT 2023","Fri Apr 28 20:36:28 GMT 2023","842","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Fri Apr 28 20:36:26 GMT 2023","Fri Apr 28 20:36:26 GMT 2023","503","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Fri Apr 28 20:36:30 GMT 2023","Fri Apr 28 20:36:31 GMT 2023","875","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Fri Apr 28 20:36:23 GMT 2023","Fri Apr 28 20:36:23 GMT 2023","455","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Fri Apr 28 20:36:28 GMT 2023","Fri Apr 28 20:36:29 GMT 2023","955","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
