"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 15:19:54 GMT 2023","Wed Apr 26 15:19:54 GMT 2023","607","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user tab","Validating new user registration function is possible"
"passed","Wed Apr 26 15:19:58 GMT 2023","Wed Apr 26 15:19:59 GMT 2023","984","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"failed","Wed Apr 26 15:19:59 GMT 2023","Wed Apr 26 15:20:06 GMT 2023","6649","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed Apr 26 15:19:56 GMT 2023","Wed Apr 26 15:19:57 GMT 2023","1035","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"failed","Wed Apr 26 15:19:57 GMT 2023","Wed Apr 26 15:19:58 GMT 2023","981","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Wed Apr 26 15:19:46 GMT 2023","Wed Apr 26 15:19:54 GMT 2023","7776","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"passed","Wed Apr 26 15:19:55 GMT 2023","Wed Apr 26 15:19:56 GMT 2023","1412","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
