"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 30 13:19:35 GMT 2023","Sun Apr 30 13:19:36 GMT 2023","380","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginWindowTest","'Login' window check","Login window - validates after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Sun Apr 30 13:19:39 GMT 2023","Sun Apr 30 13:19:39 GMT 2023","437","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Sun Apr 30 13:19:39 GMT 2023","Sun Apr 30 13:19:39 GMT 2023","493","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Sun Apr 30 13:19:42 GMT 2023","Sun Apr 30 13:19:43 GMT 2023","933","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 13:19:44 GMT 2023","Sun Apr 30 13:19:44 GMT 2023","831","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"broken","Sun Apr 30 13:19:37 GMT 2023","Sun Apr 30 13:19:37 GMT 2023","404","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"broken","Sun Apr 30 13:19:34 GMT 2023","Sun Apr 30 13:19:34 GMT 2023","463","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"broken","Sun Apr 30 13:19:36 GMT 2023","Sun Apr 30 13:19:36 GMT 2023","353","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"failed","Sun Apr 30 13:19:37 GMT 2023","Sun Apr 30 13:19:38 GMT 2023","670","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"failed","Sun Apr 30 13:19:21 GMT 2023","Sun Apr 30 13:19:34 GMT 2023","13155","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Sun Apr 30 13:19:41 GMT 2023","Sun Apr 30 13:19:42 GMT 2023","847","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Sun Apr 30 13:19:40 GMT 2023","Sun Apr 30 13:19:40 GMT 2023","477","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"failed","Sun Apr 30 13:19:35 GMT 2023","Sun Apr 30 13:19:35 GMT 2023","462","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"passed","Sun Apr 30 13:19:40 GMT 2023","Sun Apr 30 13:19:41 GMT 2023","461","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"broken","Sun Apr 30 13:19:38 GMT 2023","Sun Apr 30 13:19:38 GMT 2023","630","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Sun Apr 30 13:19:39 GMT 2023","Sun Apr 30 13:19:40 GMT 2023","483","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"failed","Sun Apr 30 13:19:43 GMT 2023","Sun Apr 30 13:19:44 GMT 2023","876","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"broken","Sun Apr 30 13:19:34 GMT 2023","Sun Apr 30 13:19:35 GMT 2023","403","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"broken","Sun Apr 30 13:19:36 GMT 2023","Sun Apr 30 13:19:37 GMT 2023","677","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
