"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 14:19:19 GMT 2023","Tue May 09 14:19:20 GMT 2023","1011","","functionTests.LoginTest","","functionTests.LoginTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"failed","Tue May 09 14:18:43 GMT 2023","Tue May 09 14:18:44 GMT 2023","1209","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"failed","Tue May 09 14:19:01 GMT 2023","Tue May 09 14:19:08 GMT 2023","7190","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","registerMultipleInvalidEmailUsersTest","Multiple invalid users register","Multiple invalid email users register - Reading invalid email registration credentials from a file, registrations must fail."
"passed","Tue May 09 14:19:36 GMT 2023","Tue May 09 14:19:37 GMT 2023","860","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Tue May 09 14:19:39 GMT 2023","Tue May 09 14:19:41 GMT 2023","1900","","functionTests.DataModificationTest","","functionTests.DataModificationTest","editProfileTest","MOD01 - Edit profile","Edit profile - Verifies changing data in profile is successful."
"passed","Tue May 09 14:18:39 GMT 2023","Tue May 09 14:18:41 GMT 2023","2243","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogNovember","Save 'November blog' text","Saving text of 'November blog'"
"passed","Tue May 09 14:19:26 GMT 2023","Tue May 09 14:19:27 GMT 2023","1333","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listTeamMembers","List team members","The test verifies the list of 'team members' on About page."
"passed","Tue May 09 14:18:20 GMT 2023","Tue May 09 14:18:33 GMT 2023","13240","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToGetInTouchPageTest","URL04 - 'Get in touch page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 14:19:17 GMT 2023","Tue May 09 14:19:19 GMT 2023","1434","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Tue May 09 14:19:36 GMT 2023","Tue May 09 14:19:36 GMT 2023","785","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Tue May 09 14:18:35 GMT 2023","Tue May 09 14:18:37 GMT 2023","1164","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToBlogPageTest","URL03 - 'Blog page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 14:19:22 GMT 2023","Tue May 09 14:19:23 GMT 2023","1459","","functionTests.LoginTest","","functionTests.LoginTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Tue May 09 14:19:08 GMT 2023","Tue May 09 14:19:14 GMT 2023","6169","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","registerMultipleValidUsersTest","Multiple valid users register","Multiple valid users register - Reading valid registration credentials from a file, multiple users can be registered."
"broken","Tue May 09 14:18:44 GMT 2023","Tue May 09 14:18:44 GMT 2023","690","","functionTests.DeleteProfileTest","","functionTests.DeleteProfileTest","deleteProfileTest","DEL01 - Delete profile","Delete profile - Validates deleting profile is successful."
"passed","Tue May 09 14:18:38 GMT 2023","Tue May 09 14:18:39 GMT 2023","976","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToProfilePageTest","URL06 - 'Profile page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 14:18:40 GMT 2023","Tue May 09 14:18:42 GMT 2023","1449","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
