"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 14:56:26 GMT 2023","Tue Apr 18 14:56:32 GMT 2023","6451","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing username",""
"passed","Tue Apr 18 14:56:26 GMT 2023","Tue Apr 18 14:56:31 GMT 2023","5446","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"failed","Tue Apr 18 14:56:32 GMT 2023","Tue Apr 18 14:56:34 GMT 2023","1316","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button",""
"passed","Tue Apr 18 14:56:31 GMT 2023","Tue Apr 18 14:56:32 GMT 2023","578","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user","Validating new user registration function"
