"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 30 13:40:26 GMT 2023","Sun Apr 30 13:40:27 GMT 2023","768","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"passed","Sun Apr 30 13:40:19 GMT 2023","Sun Apr 30 13:40:20 GMT 2023","597","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Sun Apr 30 13:40:25 GMT 2023","Sun Apr 30 13:40:26 GMT 2023","779","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"passed","Sun Apr 30 13:40:31 GMT 2023","Sun Apr 30 13:40:32 GMT 2023","1027","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Sun Apr 30 13:40:12 GMT 2023","Sun Apr 30 13:40:18 GMT 2023","6372","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Sun Apr 30 13:40:32 GMT 2023","Sun Apr 30 13:40:33 GMT 2023","801","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"failed","Sun Apr 30 13:40:12 GMT 2023","Sun Apr 30 13:40:25 GMT 2023","13045","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Sun Apr 30 13:40:26 GMT 2023","Sun Apr 30 13:40:26 GMT 2023","714","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"passed","Sun Apr 30 13:40:27 GMT 2023","Sun Apr 30 13:40:28 GMT 2023","468","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginWindowTest","'Login' window check","Login window - validates after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Sun Apr 30 13:40:18 GMT 2023","Sun Apr 30 13:40:19 GMT 2023","571","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Sun Apr 30 13:40:28 GMT 2023","Sun Apr 30 13:40:29 GMT 2023","1015","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"passed","Sun Apr 30 13:40:19 GMT 2023","Sun Apr 30 13:40:19 GMT 2023","707","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"failed","Sun Apr 30 13:40:33 GMT 2023","Sun Apr 30 13:40:34 GMT 2023","864","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"failed","Sun Apr 30 13:40:30 GMT 2023","Sun Apr 30 13:40:31 GMT 2023","988","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Sun Apr 30 13:40:33 GMT 2023","Sun Apr 30 13:40:33 GMT 2023","865","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 13:40:34 GMT 2023","Sun Apr 30 13:40:35 GMT 2023","841","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 13:40:20 GMT 2023","Sun Apr 30 13:40:20 GMT 2023","505","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Sun Apr 30 13:40:29 GMT 2023","Sun Apr 30 13:40:30 GMT 2023","706","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Sun Apr 30 13:40:28 GMT 2023","Sun Apr 30 13:40:28 GMT 2023","455","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
