"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 08 22:11:19 GMT 2023","Mon May 08 22:11:33 GMT 2023","14455","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","sendMultipleMessage","Send multiple messages from file","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon May 08 22:10:47 GMT 2023","Mon May 08 22:10:48 GMT 2023","1458","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogDecember","Save 'December blog' text","Saving text of 'December blog'"
"passed","Mon May 08 22:11:15 GMT 2023","Mon May 08 22:11:16 GMT 2023","810","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToRegistrationAndLoginPageTest","'Registration an Login page' - URL check","Validates navigating to the given URL is successful."
"failed","Mon May 08 22:11:33 GMT 2023","Mon May 08 22:11:42 GMT 2023","8618","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","registerMultipleInvalidEmailUsersTest","Multiple invalid users register","Multiple invalid email users register - Reading invalid email registration credentials from a file, registrations must fail."
"passed","Mon May 08 22:11:16 GMT 2023","Mon May 08 22:11:17 GMT 2023","959","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToBlogPageTest","'Blog page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 22:10:29 GMT 2023","Mon May 08 22:10:39 GMT 2023","9551","","functionTests.DataModificationTest","","functionTests.DataModificationTest","editProfileTest","Edit profile","Edit profile - Verifies changing data in profile is successful."
"failed","Mon May 08 22:10:55 GMT 2023","Mon May 08 22:11:02 GMT 2023","7185","","functionTests.InputNewDataTest","","functionTests.InputNewDataTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"failed","Mon May 08 22:10:50 GMT 2023","Mon May 08 22:10:51 GMT 2023","1278","","functionTests.LogoutTest","","functionTests.LogoutTest","logoutAndPressBackTest","Logout and press 'back'","Logout and press 'back arrow' button - validating user logout is successful"
"passed","Mon May 08 22:10:45 GMT 2023","Mon May 08 22:10:47 GMT 2023","1563","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogColourOfTheYear2020","Save 'Colour of the year 2020 blog' text","Saving text of 'Colour of the year 2020 blog'"
"passed","Mon May 08 22:11:54 GMT 2023","Mon May 08 22:11:55 GMT 2023","884","","functionTests.LoginTest","","functionTests.LoginTest","loginWindowTest","'Login' window check","Login window - Verifies after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Mon May 08 22:10:41 GMT 2023","Mon May 08 22:10:42 GMT 2023","931","","functionTests.RegistrationTest","","functionTests.RegistrationTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Mon May 08 22:10:53 GMT 2023","Mon May 08 22:10:55 GMT 2023","2010","","functionTests.DeleteProfileTest","","functionTests.DeleteProfileTest","deleteProfileTest","Delete profile","Delete profile - Validates deleting profile is successful."
"passed","Mon May 08 22:11:18 GMT 2023","Mon May 08 22:11:19 GMT 2023","774","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToProfilePageTest","'Profile page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 22:11:10 GMT 2023","Mon May 08 22:11:11 GMT 2023","944","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Mon May 08 22:11:53 GMT 2023","Mon May 08 22:11:54 GMT 2023","914","","functionTests.LoginTest","","functionTests.LoginTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - verifying user login is not possible when no login data is provided"
"failed","Mon May 08 22:11:17 GMT 2023","Mon May 08 22:11:18 GMT 2023","880","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToLandingPageTest","'Landing page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 22:10:40 GMT 2023","Mon May 08 22:10:41 GMT 2023","1262","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"passed","Mon May 08 22:10:51 GMT 2023","Mon May 08 22:10:53 GMT 2023","1458","","functionTests.LogoutTest","","functionTests.LogoutTest","logoutTest","Logout","Logout - verifying user logout is successful"
"passed","Mon May 08 22:11:11 GMT 2023","Mon May 08 22:11:12 GMT 2023","807","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Mon May 08 22:11:42 GMT 2023","Mon May 08 22:11:49 GMT 2023","7434","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","registerMultipleValidUsersTest","Multiple valid users register","Multiple valid users register - Reading valid registration credentials from a file, multiple users can be registered."
"failed","Mon May 08 22:11:04 GMT 2023","Mon May 08 22:11:05 GMT 2023","1411","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 08 22:11:10 GMT 2023","Mon May 08 22:11:10 GMT 2023","800","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"failed","Mon May 08 22:10:42 GMT 2023","Mon May 08 22:10:44 GMT 2023","1359","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Mon May 08 22:11:05 GMT 2023","Mon May 08 22:11:07 GMT 2023","1411","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"failed","Mon May 08 22:10:39 GMT 2023","Mon May 08 22:10:40 GMT 2023","1018","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no data's are provided"
"passed","Mon May 08 22:11:08 GMT 2023","Mon May 08 22:11:09 GMT 2023","1513","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listExpertises","List expertises","The test verifies the list of 'expertises' on About page."
"passed","Mon May 08 22:11:12 GMT 2023","Mon May 08 22:11:13 GMT 2023","917","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Mon May 08 22:11:49 GMT 2023","Mon May 08 22:11:52 GMT 2023","2602","","functionTests.ScrollingThroughMultiPageListTest","","functionTests.ScrollingThroughMultiPageListTest","blogTitleCollectTest","'Multi page scroll' - Collect blog titles","The test verifies the titles of all blog pages."
"passed","Mon May 08 22:11:14 GMT 2023","Mon May 08 22:11:15 GMT 2023","771","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToGetInTouchPageTest","'Get in touch page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 22:11:07 GMT 2023","Mon May 08 22:11:08 GMT 2023","1410","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listTeamMembers","List team members","The test verifies the list of 'team members' on About page."
"passed","Mon May 08 22:11:55 GMT 2023","Mon May 08 22:11:56 GMT 2023","1381","","functionTests.LoginTest","","functionTests.LoginTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Mon May 08 22:11:02 GMT 2023","Mon May 08 22:11:04 GMT 2023","1625","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 08 22:11:15 GMT 2023","Mon May 08 22:11:15 GMT 2023","896","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToAboutPageTest","'About page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 22:10:44 GMT 2023","Mon May 08 22:10:45 GMT 2023","1689","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogBiggestRebrands2019","Save 'Biggest Rebrands 2019 blog' text","Saving text of 'Biggest Rebrands 2019 blog'"
"passed","Mon May 08 22:11:13 GMT 2023","Mon May 08 22:11:14 GMT 2023","753","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToTermsAndConditionsPageTest","'Terms and conditions' - URL check","Validates navigating to the given URL is successful."
