"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 30 20:51:29 GMT 2023","Sun Apr 30 20:51:30 GMT 2023","207","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"broken","Sun Apr 30 20:51:32 GMT 2023","Sun Apr 30 20:51:32 GMT 2023","204","","pages.LandingPageTest","","pages.LandingPageTest","logoutAndPressBackTest","Logout and press 'back'","Logout and press 'back arrow' button - validating user logout is successful"
"broken","Sun Apr 30 20:51:30 GMT 2023","Sun Apr 30 20:51:30 GMT 2023","205","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"broken","Sun Apr 30 20:51:28 GMT 2023","Sun Apr 30 20:51:28 GMT 2023","200","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"broken","Sun Apr 30 20:51:29 GMT 2023","Sun Apr 30 20:51:29 GMT 2023","206","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"broken","Sun Apr 30 20:51:26 GMT 2023","Sun Apr 30 20:51:28 GMT 2023","1610","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"broken","Sun Apr 30 20:51:28 GMT 2023","Sun Apr 30 20:51:29 GMT 2023","206","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"broken","Sun Apr 30 20:51:31 GMT 2023","Sun Apr 30 20:51:32 GMT 2023","204","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"broken","Sun Apr 30 20:51:30 GMT 2023","Sun Apr 30 20:51:30 GMT 2023","205","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"broken","Sun Apr 30 20:51:30 GMT 2023","Sun Apr 30 20:51:30 GMT 2023","209","","pages.ProfilePageTest","","pages.ProfilePageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
