"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 13:57:38 GMT 2023","Mon May 08 13:57:41 GMT 2023","2191","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogBiggestRebrands2019","Save 'Biggest Rebrands 2019 blog' text","Saving text of 'Biggest Rebrands 2019 blog'"
"passed","Mon May 08 13:58:06 GMT 2023","Mon May 08 13:58:07 GMT 2023","926","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToAboutPageTest","'About page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 13:59:05 GMT 2023","Mon May 08 13:59:06 GMT 2023","1609","","pageTests.AboutPageTest","","pageTests.AboutPageTest","listExpertises","List expertises",""
"passed","Mon May 08 13:58:01 GMT 2023","Mon May 08 13:58:02 GMT 2023","1083","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Mon May 08 13:58:03 GMT 2023","Mon May 08 13:58:04 GMT 2023","899","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Mon May 08 13:58:18 GMT 2023","Mon May 08 13:58:21 GMT 2023","2954","","functionTests.ScrollingThroughMultiPageListTest","","functionTests.ScrollingThroughMultiPageListTest","blogTitleCollectTest","'Multi page scroll' - Collect blog titles","The test verifies the titles of all blog pages."
"failed","Mon May 08 13:58:26 GMT 2023","Mon May 08 13:58:33 GMT 2023","7437","","pageTests.GetInTouchPageTest","","pageTests.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon May 08 13:59:03 GMT 2023","Mon May 08 13:59:05 GMT 2023","1514","","pageTests.LandingPageTest","","pageTests.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 08 13:58:39 GMT 2023","Mon May 08 13:58:40 GMT 2023","917","","pageTests.RegistrationAndLoginPageTest","","pageTests.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Verifies navigating to the given URL is successful."
"passed","Mon May 08 13:58:08 GMT 2023","Mon May 08 13:58:09 GMT 2023","1096","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToBlogPageTest","'Blog page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 13:58:59 GMT 2023","Mon May 08 13:59:00 GMT 2023","1244","","pageTests.LandingPageTest","","pageTests.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Mon May 08 13:58:24 GMT 2023","Mon May 08 13:58:26 GMT 2023","1524","","functionTests.LoginTest","","functionTests.LoginTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Mon May 08 13:58:07 GMT 2023","Mon May 08 13:58:08 GMT 2023","796","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToRegistrationAndLoginPageTest","'Registration an Login page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 13:58:22 GMT 2023","Mon May 08 13:58:23 GMT 2023","1017","","functionTests.LoginTest","","functionTests.LoginTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - verifying user login is not possible when no login data is provided"
"passed","Mon May 08 13:58:23 GMT 2023","Mon May 08 13:58:24 GMT 2023","973","","functionTests.LoginTest","","functionTests.LoginTest","loginWindowTest","'Login' window check","Login window - Verifies after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"failed","Mon May 08 13:57:51 GMT 2023","Mon May 08 13:57:59 GMT 2023","7602","","functionTests.InputNewDataTest","","functionTests.InputNewDataTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon May 08 13:59:00 GMT 2023","Mon May 08 13:59:02 GMT 2023","1640","","pageTests.LandingPageTest","","pageTests.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 08 13:58:21 GMT 2023","Mon May 08 13:58:22 GMT 2023","1076","","functionTests.LoginTest","","functionTests.LoginTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"passed","Mon May 08 13:57:49 GMT 2023","Mon May 08 13:57:51 GMT 2023","2287","","functionTests.DeleteProfileTest","","functionTests.DeleteProfileTest","deleteProfileTest","Delete profile","Delete profile - Validates deleting profile is successful."
"failed","Mon May 08 13:59:02 GMT 2023","Mon May 08 13:59:03 GMT 2023","1443","","pageTests.LandingPageTest","","pageTests.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Mon May 08 13:58:05 GMT 2023","Mon May 08 13:58:05 GMT 2023","809","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToTermsAndConditionsPageTest","'Terms and conditions' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 13:57:47 GMT 2023","Mon May 08 13:57:49 GMT 2023","1598","","functionTests.LogoutTest","","functionTests.LogoutTest","logoutTest","Logout","Logout - verifying user logout is successful"
"failed","Mon May 08 13:58:11 GMT 2023","Mon May 08 13:58:18 GMT 2023","7146","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","sendMultipleMessage","Send multiple messages from file","The test verifies the 'Get in touch' menu's send message function."
"failed","Mon May 08 13:57:37 GMT 2023","Mon May 08 13:57:38 GMT 2023","1451","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"failed","Mon May 08 13:58:40 GMT 2023","Mon May 08 13:58:50 GMT 2023","9836","","pageTests.RegistrationAndLoginPageTest","","pageTests.RegistrationAndLoginPageTest","registerMultipleInvalidEmailUsersTest","Multiple invalid users register","Multiple invalid email users register - Reading invalid email registration credentials from a file, registrations must fail."
"passed","Mon May 08 13:57:59 GMT 2023","Mon May 08 13:58:01 GMT 2023","1781","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listExpertises","List expertises",""
"passed","Mon May 08 13:57:44 GMT 2023","Mon May 08 13:57:46 GMT 2023","1706","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogNovember","Save 'November blog' text","Saving text of 'November blog'"
"failed","Mon May 08 13:57:33 GMT 2023","Mon May 08 13:57:34 GMT 2023","1190","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no data's are provided"
"passed","Mon May 08 13:57:41 GMT 2023","Mon May 08 13:57:42 GMT 2023","1673","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogColourOfTheYear2020","Save 'Colour of the year 2020 blog' text","Saving text of 'Colour of the year 2020 blog'"
"passed","Mon May 08 13:57:34 GMT 2023","Mon May 08 13:57:36 GMT 2023","1613","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"passed","Mon May 08 13:57:22 GMT 2023","Mon May 08 13:57:33 GMT 2023","11187","","functionTests.DataModificationTest","","functionTests.DataModificationTest","editProfileTest","Edit profile","Edit profile - Validates changing data in profile is successful."
"passed","Mon May 08 13:57:42 GMT 2023","Mon May 08 13:57:44 GMT 2023","1700","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogDecember","Save 'December blog' text","Saving text of 'December blog'"
"passed","Mon May 08 13:58:10 GMT 2023","Mon May 08 13:58:11 GMT 2023","866","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToProfilePageTest","'Profile page' - URL check","Validates navigating to the given URL is successful."
"failed","Mon May 08 13:57:46 GMT 2023","Mon May 08 13:57:47 GMT 2023","1444","","functionTests.LogoutTest","","functionTests.LogoutTest","logoutAndPressBackTest","Logout and press 'back'","Logout and press 'back arrow' button - validating user logout is successful"
"failed","Mon May 08 13:58:09 GMT 2023","Mon May 08 13:58:10 GMT 2023","1064","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToLandingPageTest","'Landing page' - URL check","Validates navigating to the given URL is successful."
"passed","Mon May 08 13:58:04 GMT 2023","Mon May 08 13:58:05 GMT 2023","965","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Mon May 08 13:57:36 GMT 2023","Mon May 08 13:57:37 GMT 2023","1045","","functionTests.RegistrationTest","","functionTests.RegistrationTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"failed","Mon May 08 13:58:33 GMT 2023","Mon May 08 13:58:39 GMT 2023","5882","","pageTests.GetInTouchPageTest","","pageTests.GetInTouchPageTest","sendMultipleMessage","Send multiple messages from file","The test verifies the 'Get in touch' menu's send message function."
"passed","Mon May 08 13:58:50 GMT 2023","Mon May 08 13:58:59 GMT 2023","8541","","pageTests.RegistrationAndLoginPageTest","","pageTests.RegistrationAndLoginPageTest","registerMultipleValidUsersTest","Multiple valid users register","Multiple valid users register - Reading valid registration credentials from a file, multiple users can be registered."
"passed","Mon May 08 13:58:02 GMT 2023","Mon May 08 13:58:03 GMT 2023","1037","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Mon May 08 13:58:05 GMT 2023","Mon May 08 13:58:06 GMT 2023","984","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToGetInTouchPageTest","'Get in touch page' - URL check","Validates navigating to the given URL is successful."
