"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 19:27:04 GMT 2023","Tue Apr 18 19:27:06 GMT 2023","1477","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"failed","Tue Apr 18 19:27:09 GMT 2023","Tue Apr 18 19:27:11 GMT 2023","1369","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Tue Apr 18 19:27:06 GMT 2023","Tue Apr 18 19:27:08 GMT 2023","1345","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Tue Apr 18 19:27:06 GMT 2023","Tue Apr 18 19:27:06 GMT 2023","512","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user tab","Validating new user registration function is possible"
"passed","Tue Apr 18 19:27:11 GMT 2023","Tue Apr 18 19:27:12 GMT 2023","1316","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"failed","Tue Apr 18 19:27:12 GMT 2023","Tue Apr 18 19:27:18 GMT 2023","6470","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Tue Apr 18 19:27:08 GMT 2023","Tue Apr 18 19:27:09 GMT 2023","1420","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
