"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 09 16:51:21 GMT 2023","Tue May 09 16:51:23 GMT 2023","1331","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickHomeButtonTest","MEN01 - Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Tue May 09 16:52:04 GMT 2023","Tue May 09 16:52:05 GMT 2023","901","","functionTests.LoginTest","","functionTests.LoginTest","loginTabTest","LIN02 - 'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"passed","Tue May 09 16:51:29 GMT 2023","Tue May 09 16:51:29 GMT 2023","836","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","TC02 - Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Tue May 09 16:51:10 GMT 2023","Tue May 09 16:51:13 GMT 2023","2385","","functionTests.DeleteProfileTest","","functionTests.DeleteProfileTest","deleteProfileTest","DEL01 - Delete profile","Delete profile - Validates deleting profile is successful."
"passed","Tue May 09 16:52:06 GMT 2023","Tue May 09 16:52:08 GMT 2023","1291","","functionTests.LoginTest","","functionTests.LoginTest","builtInCredentialLoginTest","LIN04 - 'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"failed","Tue May 09 16:51:34 GMT 2023","Tue May 09 16:51:48 GMT 2023","13338","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","sendMultipleMessage","REP01 - Send multiple messages from file","The test verifies the 'Get in touch' menu's send message function."
"passed","Tue May 09 16:51:05 GMT 2023","Tue May 09 16:51:07 GMT 2023","2319","","functionTests.RegistrationTest","","functionTests.RegistrationTest","switchToRegisterTabTest","REG01 - Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Tue May 09 16:51:25 GMT 2023","Tue May 09 16:51:26 GMT 2023","1210","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listExpertises","LIS01 - List expertises","The test verifies the list of 'expertises' on About page."
"passed","Tue May 09 16:51:26 GMT 2023","Tue May 09 16:51:27 GMT 2023","726","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","TC04 - Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Tue May 09 16:51:03 GMT 2023","Tue May 09 16:51:05 GMT 2023","2577","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerNewUserTest","REG02 - Correct credentials registration","Using correct credentials - validating new user registration is possible"
"passed","Tue May 09 16:51:29 GMT 2023","Tue May 09 16:51:30 GMT 2023","710","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToGetInTouchPageTest","URL04 - 'Get in touch page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 16:51:04 GMT 2023","Tue May 09 16:51:08 GMT 2023","3121","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogColourOfTheYear2020","SAV04 - Save 'Colour of the year 2020 blog' text","Saving text of 'Colour of the year 2020 blog'"
"passed","Tue May 09 16:51:28 GMT 2023","Tue May 09 16:51:29 GMT 2023","713","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","TC03 - Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Tue May 09 16:51:20 GMT 2023","Tue May 09 16:51:21 GMT 2023","1609","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickAboutButtonTest","MEN02 - Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"failed","Tue May 09 16:51:08 GMT 2023","Tue May 09 16:51:10 GMT 2023","2363","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithInvalidEmailTest","REG04 - Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Tue May 09 16:50:56 GMT 2023","Tue May 09 16:51:04 GMT 2023","8273","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogBiggestRebrands2019","SAV03 - Save 'Biggest Rebrands 2019 blog' text","Saving text of 'Biggest Rebrands 2019 blog'"
