"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 21:05:02 GMT 2023","Tue May 09 21:05:03 GMT 2023","934","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","TC01 - Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Tue May 09 21:04:51 GMT 2023","Tue May 09 21:04:54 GMT 2023","2713","","functionTests.ScrollingThroughMultiPageListTest","","functionTests.ScrollingThroughMultiPageListTest","blogTitleCollectTest","PAG01 - 'Multi page scroll' - Collect blog titles","The test verifies the titles of all blog pages."
"passed","Tue May 09 21:04:08 GMT 2023","Tue May 09 21:04:10 GMT 2023","1558","","functionTests.LogoutTest","","functionTests.LogoutTest","logoutTest","LOUT01 - Logout","Logout - verifying user logout is successful"
"passed","Tue May 09 21:04:47 GMT 2023","Tue May 09 21:04:48 GMT 2023","1079","","functionTests.LoginTest","","functionTests.LoginTest","loginTabTest","LIN02 - 'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"failed","Tue May 09 21:03:56 GMT 2023","Tue May 09 21:03:58 GMT 2023","1321","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToLandingPageTest","URL05 - 'Landing page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 21:03:56 GMT 2023","Tue May 09 21:03:58 GMT 2023","2319","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogDecember","SAV01 - Save 'December blog' text","Saving text of 'December blog'"
"passed","Tue May 09 21:04:42 GMT 2023","Tue May 09 21:04:44 GMT 2023","1657","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickAboutButtonTest","MEN02 - Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Tue May 09 21:04:48 GMT 2023","Tue May 09 21:04:49 GMT 2023","990","","functionTests.LoginTest","","functionTests.LoginTest","emptyCredentialLoginTest","LIN03 - 'Empty' credentials login","Empty credentials login - verifying user login is not possible when no login data is provided"
"failed","Tue May 09 21:04:44 GMT 2023","Tue May 09 21:04:45 GMT 2023","1490","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickHomeButtonTest","MEN01 - Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Tue May 09 21:03:52 GMT 2023","Tue May 09 21:03:53 GMT 2023","1693","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToAboutPageTest","URL02 - 'About page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 21:04:49 GMT 2023","Tue May 09 21:04:50 GMT 2023","906","","functionTests.LoginTest","","functionTests.LoginTest","loginWindowTest","LIN01 - 'Login' window check","Login window - Verifies after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Tue May 09 21:03:45 GMT 2023","Tue May 09 21:03:51 GMT 2023","6520","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToGetInTouchPageTest","URL04 - 'Get in touch page' - URL check","Validates navigating to the given URL is successful."
"failed","Tue May 09 21:04:10 GMT 2023","Tue May 09 21:04:25 GMT 2023","15637","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","sendMultipleMessage","REP01 - Send multiple messages from file","The test verifies the 'Get in touch' menu's send message function."
"passed","Tue May 09 21:04:45 GMT 2023","Tue May 09 21:04:47 GMT 2023","1514","","functionTests.MenuButtonsTest","","functionTests.MenuButtonsTest","clickGetInTouchButtonTest","MEN03 - Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"failed","Tue May 09 21:04:25 GMT 2023","Tue May 09 21:04:34 GMT 2023","9220","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","registerMultipleInvalidEmailUsersTest","REP03 - Multiple invalid users register","Multiple invalid email users register - Reading invalid email registration credentials from a file, registrations must fail."
"passed","Tue May 09 21:05:01 GMT 2023","Tue May 09 21:05:02 GMT 2023","833","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","TC04 - Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Tue May 09 21:03:58 GMT 2023","Tue May 09 21:04:00 GMT 2023","2328","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogNovember","SAV02 - Save 'November blog' text","Saving text of 'November blog'"
"passed","Tue May 09 21:04:55 GMT 2023","Tue May 09 21:04:57 GMT 2023","1381","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listExpertises","LIS01 - List expertises","The test verifies the list of 'expertises' on About page."
"passed","Tue May 09 21:03:53 GMT 2023","Tue May 09 21:03:56 GMT 2023","2759","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogColourOfTheYear2020","SAV04 - Save 'Colour of the year 2020 blog' text","Saving text of 'Colour of the year 2020 blog'"
"failed","Tue May 09 21:03:59 GMT 2023","Tue May 09 21:04:01 GMT 2023","1583","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithEmptyCredentialsTest","REG03 - Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no data's are provided"
"passed","Tue May 09 21:04:54 GMT 2023","Tue May 09 21:04:55 GMT 2023","1342","","functionTests.ListingDataTest","","functionTests.ListingDataTest","listTeamMembers","LIS02 - List team members","The test verifies the list of 'team members' on About page."
"passed","Tue May 09 21:04:50 GMT 2023","Tue May 09 21:04:51 GMT 2023","1459","","functionTests.LoginTest","","functionTests.LoginTest","builtInCredentialLoginTest","LIN04 - 'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Tue May 09 21:05:05 GMT 2023","Tue May 09 21:05:07 GMT 2023","2239","","functionTests.DataModificationTest","","functionTests.DataModificationTest","editProfileTest","MOD01 - Edit profile","Edit profile - Verifies changing data in profile is successful."
"failed","Tue May 09 21:04:03 GMT 2023","Tue May 09 21:04:04 GMT 2023","1364","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerWithInvalidEmailTest","REG04 - Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Tue May 09 21:03:58 GMT 2023","Tue May 09 21:03:59 GMT 2023","1289","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToProfilePageTest","URL06 - 'Profile page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 21:05:03 GMT 2023","Tue May 09 21:05:04 GMT 2023","887","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","TC03 - Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"passed","Tue May 09 21:03:53 GMT 2023","Tue May 09 21:03:55 GMT 2023","1482","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToRegistrationAndLoginPageTest","URL01 - 'Registration and Login page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 21:03:44 GMT 2023","Tue May 09 21:03:53 GMT 2023","8131","","functionTests.SavingDataTest","","functionTests.SavingDataTest","saveBlogBiggestRebrands2019","SAV03 - Save 'Biggest Rebrands 2019 blog' text","Saving text of 'Biggest Rebrands 2019 blog'"
"passed","Tue May 09 21:04:02 GMT 2023","Tue May 09 21:04:03 GMT 2023","979","","functionTests.RegistrationTest","","functionTests.RegistrationTest","switchToRegisterTabTest","REG01 - Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Tue May 09 21:05:04 GMT 2023","Tue May 09 21:05:05 GMT 2023","921","","functionTests.TermsAndConditionsTest","","functionTests.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","TC02 - Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Tue May 09 21:04:34 GMT 2023","Tue May 09 21:04:42 GMT 2023","7724","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","","functionTests.RepeatedSerialDataEntryFromDataSourceTest","registerMultipleValidUsersTest","REP02 - Multiple valid users register","Multiple valid users register - Reading valid registration credentials from a file, multiple users can be registered."
"failed","Tue May 09 21:04:57 GMT 2023","Tue May 09 21:05:01 GMT 2023","4163","","functionTests.InputNewDataTest","","functionTests.InputNewDataTest","sendMessage","INP01 - Sending message","The test verifies the 'Get in touch' menu's send message function."
"failed","Tue May 09 21:04:07 GMT 2023","Tue May 09 21:04:08 GMT 2023","1362","","functionTests.LogoutTest","","functionTests.LogoutTest","logoutAndPressBackTest","LOUT02 - Logout and press 'back'","Logout and press 'back arrow' button - validating user logout is successful"
"passed","Tue May 09 21:03:55 GMT 2023","Tue May 09 21:03:56 GMT 2023","1483","","functionTests.CheckUrlTest","","functionTests.CheckUrlTest","navigateToBlogPageTest","URL03 - 'Blog page' - URL check","Validates navigating to the given URL is successful."
"passed","Tue May 09 21:04:04 GMT 2023","Tue May 09 21:04:07 GMT 2023","2252","","functionTests.DeleteProfileTest","","functionTests.DeleteProfileTest","deleteProfileTest","DEL01 - Delete profile","Delete profile - Validates deleting profile is successful."
"passed","Tue May 09 21:04:01 GMT 2023","Tue May 09 21:04:02 GMT 2023","1383","","functionTests.RegistrationTest","","functionTests.RegistrationTest","registerNewUserTest","REG02 - Correct credentials registration","Using correct credentials - validating new user registration is possible"
