"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 18 15:03:58 GMT 2023","Tue Apr 18 15:03:59 GMT 2023","1267","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button",""
"passed","Tue Apr 18 15:03:55 GMT 2023","Tue Apr 18 15:03:56 GMT 2023","1240","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"passed","Tue Apr 18 15:03:57 GMT 2023","Tue Apr 18 15:03:58 GMT 2023","1243","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing username",""
"passed","Tue Apr 18 15:03:56 GMT 2023","Tue Apr 18 15:03:57 GMT 2023","421","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user","Validating new user registration function"
