"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 08:56:56 GMT 2023","Wed May 03 08:56:56 GMT 2023","806","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginWindowTest","'Login' window check","Login window - validates after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Wed May 03 08:57:10 GMT 2023","Wed May 03 08:57:11 GMT 2023","687","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
"passed","Wed May 03 08:56:52 GMT 2023","Wed May 03 08:56:53 GMT 2023","1246","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"failed","Wed May 03 08:57:01 GMT 2023","Wed May 03 08:57:02 GMT 2023","1528","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Wed May 03 08:56:57 GMT 2023","Wed May 03 08:56:59 GMT 2023","1531","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"passed","Wed May 03 08:56:56 GMT 2023","Wed May 03 08:56:57 GMT 2023","762","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"failed","Wed May 03 08:56:54 GMT 2023","Wed May 03 08:56:56 GMT 2023","1148","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"passed","Wed May 03 08:57:11 GMT 2023","Wed May 03 08:57:11 GMT 2023","772","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Wed May 03 08:57:13 GMT 2023","Wed May 03 08:57:14 GMT 2023","873","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Wed May 03 08:57:02 GMT 2023","Wed May 03 08:57:04 GMT 2023","1562","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Wed May 03 08:57:20 GMT 2023","Wed May 03 08:57:22 GMT 2023","1704","","pages.LandingPageTest","","pages.LandingPageTest","logoutTest","Logout","Logout - validating user logout is successful"
"passed","Wed May 03 08:57:12 GMT 2023","Wed May 03 08:57:13 GMT 2023","839","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"broken","Wed May 03 08:57:00 GMT 2023","Wed May 03 08:57:01 GMT 2023","842","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerMultipleUsersTest","Multiple user register","Multiple user register - Reading valid registration credentials from a file, multiple users can be registered."
"passed","Wed May 03 08:57:05 GMT 2023","Wed May 03 08:57:07 GMT 2023","2563","","pages.ProfilePageTest","","pages.ProfilePageTest","deleteProfileTest","Delete profile","Delete profile - Validates deleting profile is successful."
"broken","Wed May 03 08:56:47 GMT 2023","Wed May 03 08:56:49 GMT 2023","1565","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMultipleMessage","Send multiple messages","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed May 03 08:57:24 GMT 2023","Wed May 03 08:57:25 GMT 2023","1745","","pages.AboutPageTest","","pages.AboutPageTest","listExpertises","List expertises",""
"failed","Wed May 03 08:57:15 GMT 2023","Wed May 03 08:57:17 GMT 2023","1560","","pages.LandingPageTest","","pages.LandingPageTest","logoutAndPressBackTest","Logout and press 'back'","Logout and press 'back arrow' button - validating user logout is successful"
"failed","Wed May 03 08:56:27 GMT 2023","Wed May 03 08:56:47 GMT 2023","19947","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed May 03 08:57:22 GMT 2023","Wed May 03 08:57:23 GMT 2023","1589","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Wed May 03 08:57:17 GMT 2023","Wed May 03 08:57:19 GMT 2023","1773","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"failed","Wed May 03 08:57:19 GMT 2023","Wed May 03 08:57:20 GMT 2023","1546","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Wed May 03 08:57:14 GMT 2023","Wed May 03 08:57:15 GMT 2023","1387","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Wed May 03 08:57:07 GMT 2023","Wed May 03 08:57:10 GMT 2023","2574","","pages.ProfilePageTest","","pages.ProfilePageTest","editProfileTest","Edit profile","Edit profile - Validates changing data in profile is successful."
"passed","Wed May 03 08:57:04 GMT 2023","Wed May 03 08:57:05 GMT 2023","850","","pages.ProfilePageTest","","pages.ProfilePageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Wed May 03 08:56:49 GMT 2023","Wed May 03 08:56:52 GMT 2023","3171","","pages.BlogPageTest","","pages.BlogPageTest","blogTitleCollectTest","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed May 03 08:56:59 GMT 2023","Wed May 03 08:57:00 GMT 2023","1197","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Wed May 03 08:56:53 GMT 2023","Wed May 03 08:56:54 GMT 2023","1076","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"passed","Wed May 03 08:57:11 GMT 2023","Wed May 03 08:57:12 GMT 2023","832","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
