"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 15:25:24 GMT 2023","Wed Apr 26 15:25:25 GMT 2023","965","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"failed","Wed Apr 26 15:25:26 GMT 2023","Wed Apr 26 15:25:33 GMT 2023","6469","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Wed Apr 26 15:25:14 GMT 2023","Wed Apr 26 15:25:22 GMT 2023","7085","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","clickAcceptTermsAndConditionsButtonTest","Accept Terms and conditions","Validating Terms and conditions popup"
"passed","Wed Apr 26 15:25:22 GMT 2023","Wed Apr 26 15:25:22 GMT 2023","558","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUser","Register new user tab","Validating new user registration function is possible"
"failed","Wed Apr 26 15:25:25 GMT 2023","Wed Apr 26 15:25:25 GMT 2023","914","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Wed Apr 26 15:25:25 GMT 2023","Wed Apr 26 15:25:26 GMT 2023","903","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Wed Apr 26 15:25:22 GMT 2023","Wed Apr 26 15:25:24 GMT 2023","1202","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
