"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 30 20:56:26 GMT 2023","Sun Apr 30 20:56:35 GMT 2023","9065","","pages.LandingPageTest","","pages.LandingPageTest","logoutAndPressBackTest","Logout and press 'back'","Logout and press 'back arrow' button - validating user logout is successful"
"passed","Sun Apr 30 20:56:25 GMT 2023","Sun Apr 30 20:56:26 GMT 2023","982","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"failed","Sun Apr 30 20:56:03 GMT 2023","Sun Apr 30 20:56:12 GMT 2023","8951","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Sun Apr 30 20:56:35 GMT 2023","Sun Apr 30 20:56:37 GMT 2023","1596","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 20:56:40 GMT 2023","Sun Apr 30 20:56:41 GMT 2023","1277","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 20:56:24 GMT 2023","Sun Apr 30 20:56:25 GMT 2023","578","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"failed","Sun Apr 30 20:56:22 GMT 2023","Sun Apr 30 20:56:23 GMT 2023","816","","pages.ProfilePageTest","","pages.ProfilePageTest","changeProfileTest","Edit profile","Edit profile - Validates changing data in profile is successful."
"passed","Sun Apr 30 20:56:38 GMT 2023","Sun Apr 30 20:56:40 GMT 2023","1258","","pages.LandingPageTest","","pages.LandingPageTest","logoutTest","Logout","Logout - validating user logout is successful"
"passed","Sun Apr 30 20:56:23 GMT 2023","Sun Apr 30 20:56:24 GMT 2023","463","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Sun Apr 30 20:56:20 GMT 2023","Sun Apr 30 20:56:21 GMT 2023","1263","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"failed","Sun Apr 30 20:56:37 GMT 2023","Sun Apr 30 20:56:38 GMT 2023","1351","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 20:56:14 GMT 2023","Sun Apr 30 20:56:15 GMT 2023","859","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"passed","Sun Apr 30 20:56:21 GMT 2023","Sun Apr 30 20:56:22 GMT 2023","656","","pages.ProfilePageTest","","pages.ProfilePageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
